wknr	wkname	state	eligibles	eligibles_last	firstvote	firstvote_last	secondvote	secondvote_last	firstvote_valid	firstvote_valid_last	secondvote_valid	secondvote_valid_last	cdu1	cdu1_last	cdu2	cdu2_last	spd1	spd1_last	spd2	spd2_last	lin1	lin1_last	lin2	lin2_last	gru1	gru1_last	gru2	gru2_last	csu1	csu1_last	csu2	csu2_last	fdp1	fdp1_last	fdp2	fdp2_last	afd1	afd1_last	afd2	afd2_last
83	Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost	Berlin	223426	226240	173504	168048	173504	168048	171475	165731	171840	165690	20964	22723	23906	25474	29027	29799	27340	39784	42646	28441	49123	41639	45155	66056	35113	34420					5230	1647	10153	3579	10544	3325	10865	4623
84	Berlin-Treptow-Köpenick	Berlin	205105	201629	157461	148406	157461	148406	155326	146219	155337	146281	29517	33036	31511	37170	21374	26093	24064	31204	61936	61661	39097	43118	7747	7344	12204	10787					5815	1429	10074	2904	23217	5788	26259	8106
85	Berlin-Marzahn-Hellersdorf	Berlin	200704	203968	138988	132817	138988	132817	136749	130739	136924	130732	30476	33552	28620	33947	17182	22341	19810	25103	46765	50866	35694	43026	4432	4071	5626	5068					4855	938	7290	2278	28147	6347	29600	8319
86	Berlin-Lichtenberg	Berlin	205300	205457	149053	138551	149053	138551	146617	136292	146900	136401	28828	30988	27259	31491	20608	26636	21787	27886	50942	54932	43041	47158	8808	5748	9933	7956					5018	939	7718	2117	23010	5827	24585	7480
87	Aachen I	Nordrhein-Westfalen	179273	179933	140628	134447	140628	134447	139339	132971	139784	133234	47005	54175	38819	48728	45302	46907	34659	36432	12281	8225	14461	10212	13094	11931	17906	17485					10232	2883	19794	8401	7816	2961	8269	4149
88	Aachen II	Nordrhein-Westfalen	228247	228375	173147	164576	173147	164576	171158	161549	171601	162268	62399	73621	52658	66328	63132	57635	60526	52897	8784	9418	10107	10538	7782	9096	8437	10220					11036	3827	19216	7948	15110		14848	5337
89	Heinsberg	Nordrhein-Westfalen	190051	188266	142326	134521	142326	134521	140602	132316	140891	132639	64122	70649	55605	65417	39299	37444	36421	34895	6424	5720	7910	6915	6964	7511	7282	7336					9334	2921	16111	6543	11652	3043	12312	4652
90	Düren	Nordrhein-Westfalen	199675	199550	151613	145541	151613	145541	149835	142776	150136	143471	62711	71903	52441	63532	47542	48849	43789	42549	6611	7288	8809	8120	8235	6951	8198	8729					8787	2722	17156	7102	13403		14432	5732
91	Rhein-Erft-Kreis I	Nordrhein-Westfalen	248982	247721	191512	182970	191512	182970	189343	176775	189879	178735	74208	83598	63669	75521	58798	63676	50020	55089	8591	7820	11392	9266	10355	9822	12526	12264					17648	5390	27398	10235	17113		18091	6660
92	Euskirchen – Rhein-Erft-Kreis II	Nordrhein-Westfalen	246753	245268	187793	178218	187793	178218	185577	174278	186199	175471	79499	88759	66506	79055	48589	53703	43496	46982	10835	8166	11398	9075	10689	10066	12457	12544					18315	6101	27408	11611	17650		18324	7183
93	Köln I	Nordrhein-Westfalen	192571	191277	139718	132837	139718	132837	138196	131392	138631	131602	43683	48232	36584	43863	42799	48632	33694	40759	11898	8583	15257	10709	13535	13513	15785	16056					10652	3243	18058	7235	11952	3885	12282	5367
94	Köln II	Nordrhein-Westfalen	240982	233118	197979	184162	197979	184162	196759	182684	197078	183019	68654	73011	56165	64909	52881	59975	38485	48190	15704	9521	21100	12689	28716	26426	30630	28642					17816	4762	33760	14871	9057	3839	9964	5955
95	Köln III	Nordrhein-Westfalen	203644	201922	150629	141714	150629	141714	149096	139949	149523	140346	41107	45999	36501	42902	48148	55021	36849	44240	14431	10883	19118	12960	19621	18046	20972	20905					10598	3158	16850	6339	11249		11731	4513
96	Bonn	Nordrhein-Westfalen	227583	226487	180439	175014	180439	175014	178941	172871	179207	173239	57330	64778	53334	62844	62377	65955	36119	44909	10193	7523	17132	10988	15056	14797	25197	23686					18724	10416	28113	14418	10882	4382	13130	7389
97	Rhein-Sieg-Kreis I	Nordrhein-Westfalen	237415	234377	184324	172653	184324	172653	180562	170402	182749	170747	79987	84556	62334	74187	49988	50271	40922	46065	14684	7946	13038	9496	11762	10895	13756	14000					18768	4172	27267	10796		5519	18238	7514
